year        month       count       SizeInGB                                AverageSize
----------- ----------- ----------- --------------------------------------- ---------------------------------------
2010        5           3           0.000012326985351                       0.00000410899511700
2010        7           3372        0.011517378500976                       0.00000341559267525
2010        8           8091        0.162266353144531                       0.00002005516662273
2010        9           4691        0.007784515619140                       0.00000165945760373
2010        10          3932        0.013834251090820                       0.00000351837515025
2010        11          1751        0.001016688532226                       0.00000058063308522
2010        12          4737        0.015098591334960                       0.00000318737414713
2011        1           6436        0.013625239953125                       0.00000211703541844
2011        2           3066        0.010215071960937                       0.00000333172601465
2011        3           4470        0.133630355819335                       0.00002989493418777
2011        4           6789        0.029530144295898                       0.00000434970456560
2011        5           12253       0.361728914082031                       0.00002952166115090
2011        6           7043        0.175056630745117                       0.00002485540689267
2011        7           7161        0.065851937047851                       0.00000919591356624
2011        8           8457        0.069845170713867                       0.00000825885901783
2011        9           7679        0.098674394189453                       0.00001284990157435
2011        10          4409        0.014089885166992                       0.00000319570994941
2011        11          8433        0.059009646996093                       0.00000699746792317
2011        12          5330        0.031614648177734                       0.00000593145369188
2012        1           12510       0.223092819563476                       0.00001783315903784
2012        2           10405       0.536494970321289                       0.00005156126576850
2012        3           17084       0.333596303126953                       0.00001952682645322
2012        4           12890       0.158796337432617                       0.00001231934347809
2012        5           14446       0.259439109824218                       0.00001795923507020
2012        6           15745       0.461366374976562                       0.00002930240552407
2012        7           18531       0.923510874621093                       0.00004983599776704
2012        8           16046       0.846510126254882                       0.00005275521165741
2012        9           24031       1.050939713604492                       0.00004373266670569
2012        10          33200       0.682159622199218                       0.00002054697657226
2012        11          22273       0.077094362117187                       0.00000346133713990
2012        12          19309       0.111687419935546                       0.00000578421564739
2013        1           18548       0.244021482765625                       0.00001315621537446
2013        2           33628       0.297675472683593                       0.00000885201239097
2013        3           12509       0.179715489967773                       0.00001436689503299
2013        4           16158       0.305185224860351                       0.00001888756188020
2013        5           31283       0.358349507673828                       0.00001145508767297
2013        6           7254        0.806969804688476                       0.00011124480351371
2013        7           12704       0.665331657975585                       0.00005237182446281
2013        8           12062       0.247018589637695                       0.00002047907392121
2013        9           8689        0.269066128878906                       0.00003096629403601
2013        10          11351       0.241406457498046                       0.00002126741762823
2013        11          23882       0.153672207146484                       0.00000643464563882
2013        12          9245        0.114190042018554                       0.00001235154591871
2014        1           12714       0.246811188756835                       0.00001941255220676
2014        2           9147        0.240032896399414                       0.00002624170727007
2014        3           17202       1.154217237606445                       0.00006709785127348
2014        4           20124       0.228043643756835                       0.00001133192425744
2014        5           20354       0.405297474003906                       0.00001991242379895
2014        6           5955        0.058133361860351                       0.00000976210946437
2014        7           18388       0.269197549670898                       0.00001463984934037
2014        8           14766       0.165133466943359                       0.00001118335818389
2014        9           15967       0.292551446706054                       0.00001832225507021
2014        10          10489       0.321099329739257                       0.00003061295926582
2014        11          12745       0.239319580606445                       0.00001877752692086
2014        12          23187       0.199846796691406                       0.00000861891562907
2015        1           24991       0.752682570367187                       0.00003011814534701
2015        2           8670        0.335962953976562                       0.00003875005236177
2015        3           22139       0.239056222140625                       0.00001079796838794
2015        4           12003       0.233829457312500                       0.00001948091787990
2015        5           13356       0.183649330399414                       0.00001375032422876
2015        6           14901       0.457068099639648                       0.00003067365275079
2015        7           12050       0.296579464337890                       0.00002461240367949
2015        8           7708        0.098969754762695                       0.00001283987477461
2015        9           10051       0.349086860194335                       0.00003473155508848
2015        10          141772      0.470150309614257                       0.00000331624234414
2015        11          22106       0.506000396794921                       0.00002288973114968
2015        12          25418       0.226978306658203                       0.00000892982558258
2016        1           29652       0.275046733207031                       0.00000927582399861
2016        2           48461       0.440134418196289                       0.00000908223970195
2016        3           30898       0.279094892553710                       0.00000903278181609
2016        4           20437       0.185651785693359                       0.00000908410166332
2016        5           22239       0.230438189580078                       0.00001036189530015
2016        6           19711       0.354280226863281                       0.00001797373176720
2016        7           25973       0.266738560049804                       0.00001026984022060
2016        8           31693       0.130001299083007                       0.00000410189313359
2016        9           30196       0.608878935686523                       0.00002016422492007
2016        10          25225       0.699006143025390                       0.00002771084808822
2016        11          39221       0.987052649258789                       0.00002516643250449
2016        12          40599       1.160546458326171                       0.00002858559221473
2017        1           54127       1.069100310093750                       0.00001975170081648
2017        2           131418      1.094006410799804                       0.00000832463141122
2017        3           184526      2.554567629470703                       0.00001384394410256
2017        4           120975      3.012209973297851                       0.00002489944181275
2017        5           103423      4.759022939018554                       0.00004601513144096
2017        6           95736       4.325047804041992                       0.00004517681754034
2017        7           76262       3.198215252719726                       0.00004193720663921
2017        8           66245       5.295893061905273                       0.00007994404199419
2017        9           148443      7.341990900225585                       0.00004946000080991
2017        10          3113444     271.758984765037109                     0.00008728565047742
2017        11          1599564     147.040757482871093                     0.00009192552313184

(90 rows affected)

