year        month       count       SizeInGB                                AverageSize
----------- ----------- ----------- --------------------------------------- ---------------------------------------
2010        5           3           0.000012326985351                       0.00000410899511700
2010        7           3372        0.011517378500976                       0.00000341559267525
2010        8           8091        0.162266353144531                       0.00002005516662273
2010        9           4691        0.007784515619140                       0.00000165945760373
2010        10          3932        0.013834251090820                       0.00000351837515025
2010        11          1751        0.001016688532226                       0.00000058063308522
2010        12          4737        0.015098591334960                       0.00000318737414713
2011        1           6436        0.013625239953125                       0.00000211703541844
2011        2           3066        0.010215071960937                       0.00000333172601465
2011        3           4470        0.133630355819335                       0.00002989493418777
2011        4           6789        0.029530144295898                       0.00000434970456560
2011        5           12253       0.361728914082031                       0.00002952166115090
2011        6           7043        0.175056630745117                       0.00002485540689267
2011        7           7161        0.065851937047851                       0.00000919591356624
2011        8           8457        0.069845170713867                       0.00000825885901783
2011        9           7679        0.098674394189453                       0.00001284990157435
2011        10          4409        0.014089885166992                       0.00000319570994941
2011        11          8433        0.059009646996093                       0.00000699746792317
2011        12          5330        0.031614648177734                       0.00000593145369188
2012        1           12510       0.223092819563476                       0.00001783315903784
2012        2           10405       0.536494970321289                       0.00005156126576850
2012        3           17084       0.333596303126953                       0.00001952682645322
2012        4           12890       0.158796337432617                       0.00001231934347809
2012        5           14446       0.259439109824218                       0.00001795923507020
2012        6           15745       0.461366374976562                       0.00002930240552407
2012        7           18531       0.923510874621093                       0.00004983599776704
2012        8           16046       0.846510126254882                       0.00005275521165741
2012        9           24031       1.050939713604492                       0.00004373266670569
2012        10          33200       0.682159622199218                       0.00002054697657226
2012        11          22273       0.077094362117187                       0.00000346133713990
2012        12          19309       0.111687419935546                       0.00000578421564739
2013        1           18548       0.244021482765625                       0.00001315621537446
2013        2           33628       0.297675472683593                       0.00000885201239097
2013        3           12509       0.179715489967773                       0.00001436689503299
2013        4           16158       0.305185224860351                       0.00001888756188020
2013        5           31283       0.358349507673828                       0.00001145508767297
2013        6           7254        0.806969804688476                       0.00011124480351371
2013        7           12704       0.665331657975585                       0.00005237182446281
2013        8           12062       0.247018589637695                       0.00002047907392121
2013        9           8689        0.269066128878906                       0.00003096629403601
2013        10          11351       0.241406457498046                       0.00002126741762823
2013        11          23882       0.153672207146484                       0.00000643464563882
2013        12          9245        0.114190042018554                       0.00001235154591871
2014        1           12714       0.246811188756835                       0.00001941255220676
2014        2           9147        0.240032896399414                       0.00002624170727007
2014        3           17202       1.154217237606445                       0.00006709785127348
2014        4           20124       0.228043643756835                       0.00001133192425744
2014        5           20354       0.405297474003906                       0.00001991242379895
2014        6           5955        0.058133361860351                       0.00000976210946437
2014        7           18388       0.269197549670898                       0.00001463984934037
2014        8           14766       0.165133466943359                       0.00001118335818389
2014        9           15967       0.292551446706054                       0.00001832225507021
2014        10          10489       0.321099329739257                       0.00003061295926582
2014        11          12746       0.239320519379882                       0.00001877612736386
2014        12          23187       0.199846796691406                       0.00000861891562907
2015        1           24992       0.752683024852539                       0.00003011695842079
2015        2           8670        0.335962953976562                       0.00003875005236177
2015        3           22139       0.239056222140625                       0.00001079796838794
2015        4           12003       0.233829457312500                       0.00001948091787990
2015        5           13356       0.183649330399414                       0.00001375032422876
2015        6           14903       0.457069584167968                       0.00003066963592350
2015        7           12051       0.296580668538085                       0.00002461046125118
2015        8           7714        0.100207694805664                       0.00001299036748841
2015        9           10055       0.349090749397460                       0.00003471812525086
2015        10          141777      0.470153333619140                       0.00000331614672068
2015        11          22107       0.506007957271484                       0.00002288903773788
2015        12          25426       0.228287725708984                       0.00000897851513053
2016        1           29652       0.275046733207031                       0.00000927582399861
2016        2           48469       0.442284367978515                       0.00000912509785591
2016        3           30898       0.279094892553710                       0.00000903278181609
2016        4           20437       0.185651785693359                       0.00000908410166332
2016        5           22239       0.230438189580078                       0.00001036189530015
2016        6           19712       0.354282848536132                       0.00001797295294927
2016        7           25973       0.266738560049804                       0.00001026984022060
2016        8           31700       0.131419447250000                       0.00000414572388801
2016        9           30197       0.608881515450195                       0.00002016364259529
2016        10          25234       0.700459083541992                       0.00002775854337568
2016        11          40160       1.335040611214843                       0.00003324304310793
2016        12          41188       1.378860649652343                       0.00003347724214946
2017        1           55569       1.609510851091796                       0.00002896418598664
2017        2           133187      1.779985984787109                       0.00001336456249323
2017        3           186818      3.431976188905273                       0.00001837069334274
2017        4           123348      3.911530003882812                       0.00003171133706166
2017        5           105676      5.647958396001953                       0.00005344598959084
2017        6           97911       5.156678270547851                       0.00005266699625729
2017        7           78716       4.092133622616210                       0.00005198604632623
2017        8           66956       5.482555481604492                       0.00008188296017689
2017        9           208817      9.060913160442382                       0.00004339164512679
2017        10          4102137     367.599352189338867                     0.00008961167123119
2017        11          206635      19.414456688798828                      0.00009395531584096

(90 rows affected)

